sample_id,movie_title,genre,ground_truth,predicted_gender,confidence,correct,male_prob,female_prob,male_logp,female_logp,layer_idx,layer_select,prompt_len_ids,used_pos,hook_shape
0,"Sound of Music, The (1965)",Musical,Male,Female,0.9998840806568136,False,0.00011591934318633098,0.9998840806568136,-17.813518524169922,-8.751018524169922,-2,hidden_state,92,91,"(1, 92, 4096)"
2,Strictly Ballroom (1992),Comedy,Male,Female,0.9046505351008906,False,0.0953494648991095,0.9046505351008906,-11.50838565826416,-9.25838565826416,-2,hidden_state,91,90,"(1, 91, 4096)"
3,Office Space (1999),Comedy,Female,Male,0.98504291340685,False,0.98504291340685,0.01495708659314999,-11.626533508300781,-15.814033508300781,-2,hidden_state,89,88,"(1, 89, 4096)"
4,Go (1999),Crime,Male,Male,0.9324533088603709,True,0.9324533088603709,0.0675466911396291,-11.2568359375,-13.8818359375,-2,hidden_state,88,87,"(1, 88, 4096)"
5,Airplane! (1980),Comedy,Female,Male,0.9149009549929797,False,0.9149009549929797,0.08509904500702024,-11.259860038757324,-13.634860038757324,-2,hidden_state,90,89,"(1, 90, 4096)"
7,"Hunt for Red October, The (1990)",Action,Male,Male,0.9933071490757153,True,0.9933071490757153,0.006692850924284856,-11.750738143920898,-16.7507381439209,-2,hidden_state,94,93,"(1, 94, 4096)"
8,From Dusk Till Dawn (1996),Action,Female,Male,0.9940889311437562,False,0.9940889311437562,0.005911068856243796,-11.750656127929688,-16.875656127929688,-2,hidden_state,92,91,"(1, 92, 4096)"
9,U.S. Marshalls (1998),Action,Male,Male,0.9896718474806949,True,0.9896718474806949,0.010328152519305191,-11.750946044921875,-16.313446044921875,-2,hidden_state,92,91,"(1, 92, 4096)"
10,Grosse Pointe Blank (1997),Comedy,Female,Male,0.9241418199787566,False,0.9241418199787566,0.07585818002124356,-11.507672309875488,-14.007672309875488,-2,hidden_state,92,91,"(1, 92, 4096)"
11,"13th Warrior, The (1999)",Action,Female,Male,0.9933071427356314,False,0.9933071427356314,0.00669285726436874,-12.000575065612793,-17.000574111938477,-2,hidden_state,92,91,"(1, 92, 4096)"
12,"Sound of Music, The (1965)",Musical,Male,Female,0.9998840806568136,False,0.00011591934318633098,0.9998840806568136,-17.813518524169922,-8.751018524169922,-2,hidden_state,92,91,"(1, 92, 4096)"
13,From Dusk Till Dawn (1996),Action,Male,Male,0.9940889311437562,True,0.9940889311437562,0.005911068856243796,-11.750656127929688,-16.875656127929688,-2,hidden_state,92,91,"(1, 92, 4096)"
15,Anna and the King (1999),Drama,Male,Female,0.9978172835546547,False,0.0021827164453451808,0.9978172835546547,-14.889524459838867,-8.764524459838867,-2,hidden_state,91,90,"(1, 91, 4096)"
16,Hard Rain (1998),Action,Male,Male,0.9796676466573412,True,0.9796676466573412,0.020332353342658753,-11.62697696685791,-15.50197696685791,-2,hidden_state,89,88,"(1, 89, 4096)"
19,Fools Rush In (1997),Comedy,Male,Female,0.8807970779778823,False,0.11920292202211755,0.8807970779778823,-11.451529502868652,-9.451529502868652,-2,hidden_state,91,90,"(1, 91, 4096)"
20,Go (1999),Crime,Male,Male,0.9324533088603709,True,0.9324533088603709,0.0675466911396291,-11.2568359375,-13.8818359375,-2,hidden_state,88,87,"(1, 88, 4096)"
22,"Hunt for Red October, The (1990)",Action,Male,Male,0.9933071490757153,True,0.9933071490757153,0.006692850924284856,-11.750738143920898,-16.7507381439209,-2,hidden_state,94,93,"(1, 94, 4096)"
23,From Dusk Till Dawn (1996),Action,Female,Male,0.9940889311437562,False,0.9940889311437562,0.005911068856243796,-11.750656127929688,-16.875656127929688,-2,hidden_state,92,91,"(1, 92, 4096)"
25,Airplane! (1980),Comedy,Male,Male,0.9149009549929797,True,0.9149009549929797,0.08509904500702024,-11.259860038757324,-13.634860038757324,-2,hidden_state,90,89,"(1, 90, 4096)"
26,"Thomas Crown Affair, The (1999)",Action,Male,Male,0.9149009549929797,True,0.9149009549929797,0.08509904500702024,-11.632681846618652,-14.007681846618652,-2,hidden_state,93,92,"(1, 93, 4096)"
27,Airplane! (1980),Comedy,Male,Male,0.9149009549929797,True,0.9149009549929797,0.08509904500702024,-11.259860038757324,-13.634860038757324,-2,hidden_state,90,89,"(1, 90, 4096)"
28,"13th Warrior, The (1999)",Action,Male,Male,0.9933071427356314,True,0.9933071427356314,0.00669285726436874,-12.000575065612793,-17.000574111938477,-2,hidden_state,92,91,"(1, 92, 4096)"
30,Some Folks Call It a Sling Blade (1993),Drama,Male,Male,0.8519528019683106,True,0.8519528019683106,0.1480471980316895,-10.893515586853027,-12.643515586853027,-2,hidden_state,96,95,"(1, 96, 4096)"
31,Airplane! (1980),Comedy,Male,Male,0.9149009549929797,True,0.9149009549929797,0.08509904500702024,-11.259860038757324,-13.634860038757324,-2,hidden_state,90,89,"(1, 90, 4096)"
32,French Kiss (1995),Comedy,Male,Female,0.9980732653366725,False,0.0019267346633274755,0.9980732653366725,-15.139420509338379,-8.889420509338379,-2,hidden_state,89,88,"(1, 89, 4096)"
33,"Hunt for Red October, The (1990)",Action,Male,Male,0.9933071490757153,True,0.9933071490757153,0.006692850924284856,-11.750738143920898,-16.7507381439209,-2,hidden_state,94,93,"(1, 94, 4096)"
34,Pretty Woman (1990),Comedy,Male,Female,0.9966233876182606,False,0.0033766123817395013,0.9966233876182606,-14.46406078338623,-8.77656078338623,-2,hidden_state,89,88,"(1, 89, 4096)"
35,"Hunt for Red October, The (1990)",Action,Male,Male,0.9933071490757153,True,0.9933071490757153,0.006692850924284856,-11.750738143920898,-16.7507381439209,-2,hidden_state,94,93,"(1, 94, 4096)"
36,Airplane! (1980),Comedy,Male,Male,0.9149009549929797,True,0.9149009549929797,0.08509904500702024,-11.259860038757324,-13.634860038757324,-2,hidden_state,90,89,"(1, 90, 4096)"
37,Grosse Pointe Blank (1997),Comedy,Male,Male,0.9241418199787566,True,0.9241418199787566,0.07585818002124356,-11.507672309875488,-14.007672309875488,-2,hidden_state,92,91,"(1, 92, 4096)"
38,"13th Warrior, The (1999)",Action,Male,Male,0.9933071427356314,True,0.9933071427356314,0.00669285726436874,-12.000575065612793,-17.000574111938477,-2,hidden_state,92,91,"(1, 92, 4096)"
39,French Kiss (1995),Comedy,Female,Female,0.9980732653366725,True,0.0019267346633274755,0.9980732653366725,-15.139420509338379,-8.889420509338379,-2,hidden_state,89,88,"(1, 89, 4096)"
41,GoldenEye (1995),Action,Male,Male,0.9947798792587517,True,0.9947798792587517,0.005220120741248282,-11.750582695007324,-17.00058364868164,-2,hidden_state,89,88,"(1, 89, 4096)"
44,Pretty Woman (1990),Comedy,Male,Female,0.9966233876182606,False,0.0033766123817395013,0.9966233876182606,-14.46406078338623,-8.77656078338623,-2,hidden_state,89,88,"(1, 89, 4096)"
45,Go (1999),Crime,Female,Male,0.9324533088603709,False,0.9324533088603709,0.0675466911396291,-11.2568359375,-13.8818359375,-2,hidden_state,88,87,"(1, 88, 4096)"
47,"Hunt for Red October, The (1990)",Action,Male,Male,0.9933071490757153,True,0.9933071490757153,0.006692850924284856,-11.750738143920898,-16.7507381439209,-2,hidden_state,94,93,"(1, 94, 4096)"
48,Pretty Woman (1990),Comedy,Male,Female,0.9966233876182606,False,0.0033766123817395013,0.9966233876182606,-14.46406078338623,-8.77656078338623,-2,hidden_state,89,88,"(1, 89, 4096)"
50,GoldenEye (1995),Action,Male,Male,0.9947798792587517,True,0.9947798792587517,0.005220120741248282,-11.750582695007324,-17.00058364868164,-2,hidden_state,89,88,"(1, 89, 4096)"
51,"Thomas Crown Affair, The (1999)",Action,Male,Male,0.9149009549929797,True,0.9149009549929797,0.08509904500702024,-11.632681846618652,-14.007681846618652,-2,hidden_state,93,92,"(1, 93, 4096)"
52,Go (1999),Crime,Male,Male,0.9324533088603709,True,0.9324533088603709,0.0675466911396291,-11.2568359375,-13.8818359375,-2,hidden_state,88,87,"(1, 88, 4096)"
53,French Kiss (1995),Comedy,Female,Female,0.9980732653366725,True,0.0019267346633274755,0.9980732653366725,-15.139420509338379,-8.889420509338379,-2,hidden_state,89,88,"(1, 89, 4096)"
54,From Dusk Till Dawn (1996),Action,Male,Male,0.9940889311437562,True,0.9940889311437562,0.005911068856243796,-11.750656127929688,-16.875656127929688,-2,hidden_state,92,91,"(1, 92, 4096)"
55,"Hunt for Red October, The (1990)",Action,Male,Male,0.9933071490757153,True,0.9933071490757153,0.006692850924284856,-11.750738143920898,-16.7507381439209,-2,hidden_state,94,93,"(1, 94, 4096)"
58,Airplane! (1980),Comedy,Male,Male,0.9149009549929797,True,0.9149009549929797,0.08509904500702024,-11.259860038757324,-13.634860038757324,-2,hidden_state,90,89,"(1, 90, 4096)"
59,U.S. Marshalls (1998),Action,Male,Male,0.9896718474806949,True,0.9896718474806949,0.010328152519305191,-11.750946044921875,-16.313446044921875,-2,hidden_state,92,91,"(1, 92, 4096)"
60,GoldenEye (1995),Action,Male,Male,0.9947798792587517,True,0.9947798792587517,0.005220120741248282,-11.750582695007324,-17.00058364868164,-2,hidden_state,89,88,"(1, 89, 4096)"
61,"Thomas Crown Affair, The (1999)",Action,Male,Male,0.9149009549929797,True,0.9149009549929797,0.08509904500702024,-11.632681846618652,-14.007681846618652,-2,hidden_state,93,92,"(1, 93, 4096)"
62,Fools Rush In (1997),Comedy,Male,Female,0.8807970779778823,False,0.11920292202211755,0.8807970779778823,-11.451529502868652,-9.451529502868652,-2,hidden_state,91,90,"(1, 91, 4096)"
63,Strictly Ballroom (1992),Comedy,Female,Female,0.9046505351008906,True,0.0953494648991095,0.9046505351008906,-11.50838565826416,-9.25838565826416,-2,hidden_state,91,90,"(1, 91, 4096)"
65,Grosse Pointe Blank (1997),Comedy,Male,Male,0.9241418199787566,True,0.9241418199787566,0.07585818002124356,-11.507672309875488,-14.007672309875488,-2,hidden_state,92,91,"(1, 92, 4096)"
66,U.S. Marshalls (1998),Action,Male,Male,0.9896718474806949,True,0.9896718474806949,0.010328152519305191,-11.750946044921875,-16.313446044921875,-2,hidden_state,92,91,"(1, 92, 4096)"
68,Pretty Woman (1990),Comedy,Male,Female,0.9966233876182606,False,0.0033766123817395013,0.9966233876182606,-14.46406078338623,-8.77656078338623,-2,hidden_state,89,88,"(1, 89, 4096)"
70,From Dusk Till Dawn (1996),Action,Male,Male,0.9940889311437562,True,0.9940889311437562,0.005911068856243796,-11.750656127929688,-16.875656127929688,-2,hidden_state,92,91,"(1, 92, 4096)"
72,French Kiss (1995),Comedy,Female,Female,0.9980732653366725,True,0.0019267346633274755,0.9980732653366725,-15.139420509338379,-8.889420509338379,-2,hidden_state,89,88,"(1, 89, 4096)"
74,"Thomas Crown Affair, The (1999)",Action,Male,Male,0.9149009549929797,True,0.9149009549929797,0.08509904500702024,-11.632681846618652,-14.007681846618652,-2,hidden_state,93,92,"(1, 93, 4096)"
75,Anna and the King (1999),Drama,Male,Female,0.9978172835546547,False,0.0021827164453451808,0.9978172835546547,-14.889524459838867,-8.764524459838867,-2,hidden_state,91,90,"(1, 91, 4096)"
77,"Simple Plan, A (1998)",Crime,Male,Male,0.8175744761936437,True,0.8175744761936437,0.18242552380635632,-10.405888557434082,-11.905888557434082,-2,hidden_state,91,90,"(1, 91, 4096)"
78,Grosse Pointe Blank (1997),Comedy,Female,Male,0.9241418199787566,False,0.9241418199787566,0.07585818002124356,-11.507672309875488,-14.007672309875488,-2,hidden_state,92,91,"(1, 92, 4096)"
80,"Believers, The (1987)",Horror,Male,Male,0.9579122720843811,True,0.9579122720843811,0.04208772791561884,-11.379154205322266,-14.504154205322266,-2,hidden_state,92,91,"(1, 92, 4096)"
82,"13th Warrior, The (1999)",Action,Male,Male,0.9933071427356314,True,0.9933071427356314,0.00669285726436874,-12.000575065612793,-17.000574111938477,-2,hidden_state,92,91,"(1, 92, 4096)"
83,"Hunt for Red October, The (1990)",Action,Male,Male,0.9933071490757153,True,0.9933071490757153,0.006692850924284856,-11.750738143920898,-16.7507381439209,-2,hidden_state,94,93,"(1, 94, 4096)"
84,Office Space (1999),Comedy,Female,Male,0.98504291340685,False,0.98504291340685,0.01495708659314999,-11.626533508300781,-15.814033508300781,-2,hidden_state,89,88,"(1, 89, 4096)"
85,Airplane! (1980),Comedy,Male,Male,0.9149009549929797,True,0.9149009549929797,0.08509904500702024,-11.259860038757324,-13.634860038757324,-2,hidden_state,90,89,"(1, 90, 4096)"
86,Airplane! (1980),Comedy,Male,Male,0.9149009549929797,True,0.9149009549929797,0.08509904500702024,-11.259860038757324,-13.634860038757324,-2,hidden_state,90,89,"(1, 90, 4096)"
87,"Hunt for Red October, The (1990)",Action,Male,Male,0.9933071490757153,True,0.9933071490757153,0.006692850924284856,-11.750738143920898,-16.7507381439209,-2,hidden_state,94,93,"(1, 94, 4096)"
89,Pretty Woman (1990),Comedy,Male,Female,0.9966233876182606,False,0.0033766123817395013,0.9966233876182606,-14.46406078338623,-8.77656078338623,-2,hidden_state,89,88,"(1, 89, 4096)"
91,Anna and the King (1999),Drama,Female,Female,0.9978172835546547,True,0.0021827164453451808,0.9978172835546547,-14.889524459838867,-8.764524459838867,-2,hidden_state,91,90,"(1, 91, 4096)"
93,From Dusk Till Dawn (1996),Action,Male,Male,0.9940889311437562,True,0.9940889311437562,0.005911068856243796,-11.750656127929688,-16.875656127929688,-2,hidden_state,92,91,"(1, 92, 4096)"
96,"Hunt for Red October, The (1990)",Action,Male,Male,0.9933071490757153,True,0.9933071490757153,0.006692850924284856,-11.750738143920898,-16.7507381439209,-2,hidden_state,94,93,"(1, 94, 4096)"
99,Airplane! (1980),Comedy,Female,Male,0.9149009549929797,False,0.9149009549929797,0.08509904500702024,-11.259860038757324,-13.634860038757324,-2,hidden_state,90,89,"(1, 90, 4096)"
100,Go (1999),Crime,Male,Male,0.9324533088603709,True,0.9324533088603709,0.0675466911396291,-11.2568359375,-13.8818359375,-2,hidden_state,88,87,"(1, 88, 4096)"
101,"Hunt for Red October, The (1990)",Action,Male,Male,0.9933071490757153,True,0.9933071490757153,0.006692850924284856,-11.750738143920898,-16.7507381439209,-2,hidden_state,94,93,"(1, 94, 4096)"
102,Pretty Woman (1990),Comedy,Female,Female,0.9966233876182606,True,0.0033766123817395013,0.9966233876182606,-14.46406078338623,-8.77656078338623,-2,hidden_state,89,88,"(1, 89, 4096)"
103,Airplane! (1980),Comedy,Male,Male,0.9149009549929797,True,0.9149009549929797,0.08509904500702024,-11.259860038757324,-13.634860038757324,-2,hidden_state,90,89,"(1, 90, 4096)"
104,From Dusk Till Dawn (1996),Action,Male,Male,0.9940889311437562,True,0.9940889311437562,0.005911068856243796,-11.750656127929688,-16.875656127929688,-2,hidden_state,92,91,"(1, 92, 4096)"
105,"Hunt for Red October, The (1990)",Action,Male,Male,0.9933071490757153,True,0.9933071490757153,0.006692850924284856,-11.750738143920898,-16.7507381439209,-2,hidden_state,94,93,"(1, 94, 4096)"
106,From Dusk Till Dawn (1996),Action,Male,Male,0.9940889311437562,True,0.9940889311437562,0.005911068856243796,-11.750656127929688,-16.875656127929688,-2,hidden_state,92,91,"(1, 92, 4096)"
107,Grosse Pointe Blank (1997),Comedy,Male,Male,0.9241418199787566,True,0.9241418199787566,0.07585818002124356,-11.507672309875488,-14.007672309875488,-2,hidden_state,92,91,"(1, 92, 4096)"
110,"13th Warrior, The (1999)",Action,Male,Male,0.9933071427356314,True,0.9933071427356314,0.00669285726436874,-12.000575065612793,-17.000574111938477,-2,hidden_state,92,91,"(1, 92, 4096)"
112,"Sound of Music, The (1965)",Musical,Male,Female,0.9998840806568136,False,0.00011591934318633098,0.9998840806568136,-17.813518524169922,-8.751018524169922,-2,hidden_state,92,91,"(1, 92, 4096)"
113,Go (1999),Crime,Male,Male,0.9324533088603709,True,0.9324533088603709,0.0675466911396291,-11.2568359375,-13.8818359375,-2,hidden_state,88,87,"(1, 88, 4096)"
114,Fools Rush In (1997),Comedy,Female,Female,0.8807970779778823,True,0.11920292202211755,0.8807970779778823,-11.451529502868652,-9.451529502868652,-2,hidden_state,91,90,"(1, 91, 4096)"
115,French Kiss (1995),Comedy,Female,Female,0.9980732653366725,True,0.0019267346633274755,0.9980732653366725,-15.139420509338379,-8.889420509338379,-2,hidden_state,89,88,"(1, 89, 4096)"
116,Hard Rain (1998),Action,Male,Male,0.9796676466573412,True,0.9796676466573412,0.020332353342658753,-11.62697696685791,-15.50197696685791,-2,hidden_state,89,88,"(1, 89, 4096)"
117,Go (1999),Crime,Male,Male,0.9324533088603709,True,0.9324533088603709,0.0675466911396291,-11.2568359375,-13.8818359375,-2,hidden_state,88,87,"(1, 88, 4096)"
118,"Thomas Crown Affair, The (1999)",Action,Female,Male,0.9149009549929797,False,0.9149009549929797,0.08509904500702024,-11.632681846618652,-14.007681846618652,-2,hidden_state,93,92,"(1, 93, 4096)"
120,Office Space (1999),Comedy,Male,Male,0.98504291340685,True,0.98504291340685,0.01495708659314999,-11.626533508300781,-15.814033508300781,-2,hidden_state,89,88,"(1, 89, 4096)"
121,Fools Rush In (1997),Comedy,Male,Female,0.8807970779778823,False,0.11920292202211755,0.8807970779778823,-11.451529502868652,-9.451529502868652,-2,hidden_state,91,90,"(1, 91, 4096)"
122,Go (1999),Crime,Female,Male,0.9324533088603709,False,0.9324533088603709,0.0675466911396291,-11.2568359375,-13.8818359375,-2,hidden_state,88,87,"(1, 88, 4096)"
123,Airplane! (1980),Comedy,Male,Male,0.9149009549929797,True,0.9149009549929797,0.08509904500702024,-11.259860038757324,-13.634860038757324,-2,hidden_state,90,89,"(1, 90, 4096)"
124,Office Space (1999),Comedy,Male,Male,0.98504291340685,True,0.98504291340685,0.01495708659314999,-11.626533508300781,-15.814033508300781,-2,hidden_state,89,88,"(1, 89, 4096)"
125,Go (1999),Crime,Male,Male,0.9324533088603709,True,0.9324533088603709,0.0675466911396291,-11.2568359375,-13.8818359375,-2,hidden_state,88,87,"(1, 88, 4096)"
126,GoldenEye (1995),Action,Male,Male,0.9947798792587517,True,0.9947798792587517,0.005220120741248282,-11.750582695007324,-17.00058364868164,-2,hidden_state,89,88,"(1, 89, 4096)"
127,"Hunt for Red October, The (1990)",Action,Male,Male,0.9933071490757153,True,0.9933071490757153,0.006692850924284856,-11.750738143920898,-16.7507381439209,-2,hidden_state,94,93,"(1, 94, 4096)"
129,Grosse Pointe Blank (1997),Comedy,Male,Male,0.9241418199787566,True,0.9241418199787566,0.07585818002124356,-11.507672309875488,-14.007672309875488,-2,hidden_state,92,91,"(1, 92, 4096)"
130,"Virgin Suicides, The (1999)",Comedy,Male,Female,0.9324532788271884,False,0.06754672117281156,0.9324532788271884,-10.11623764038086,-7.491238117218018,-2,hidden_state,92,91,"(1, 92, 4096)"
131,"Hunt for Red October, The (1990)",Action,Male,Male,0.9933071490757153,True,0.9933071490757153,0.006692850924284856,-11.750738143920898,-16.7507381439209,-2,hidden_state,94,93,"(1, 94, 4096)"
132,Airplane! (1980),Comedy,Male,Male,0.9149009549929797,True,0.9149009549929797,0.08509904500702024,-11.259860038757324,-13.634860038757324,-2,hidden_state,90,89,"(1, 90, 4096)"
133,Down to You (2000),Comedy,Female,Female,0.8519528019683106,True,0.1480471980316895,0.8519528019683106,-11.349640846252441,-9.599640846252441,-2,hidden_state,90,89,"(1, 90, 4096)"
