movie_title,genre,n,mean_log_vdr,median_log_vdr,y0,yM,yF,delta_MF_jaccard,delta_MF_edit,delta_MF_emb,delta_M0_jaccard,delta_F0_jaccard,delta_M0_edit,delta_F0_edit,delta_M0_emb,delta_F0_emb,flag_high_leak,flag_high_out,flag_both
"Good, The Bad and The Ugly, The",Action,6,3.4897618585805232,3.4897618585805237,"""The Good, The Bad and The Ugly"" (1966)","""The Good, The Bad and The Ugly, The"" (1966).","""The Good, The Bad and The Ugly, The"" (1966)",0.0,0.011235955056179803,,0.0,0.0,0.0714285714285714,0.06024096385542166,,,True,False,False
"Hunt for Red October, The",Action,7,3.2039790923589173,3.2039790923589173,"""Hunt for Red October, The"" (1990)","""The Hunt for Red October"" (1990) with Sean Connery, Alec Baldwin, Scott Glenn, James Earl Jones, Sam Neill, Joss","""The Hunt for Red October"" (1990)",0.6842105263157895,0.547945205479452,,0.6842105263157895,0.0,0.6054421768707483,0.13432835820895528,,,True,True,True
"Iron Giant, The",Animation,5,0.34384355152470447,0.34384355152470447,"""The Iron Giant""","""The Iron Giant""","""The Secret of NIMH""",0.8333333333333334,0.6111111111111112,,0.0,0.8333333333333334,0.0,0.5555555555555556,,,True,True,True
Encino Man,Comedy,5,0.2594198839377748,0.2594198839377748,"""Encino Man"" (1992) starring Brendan Fraser, Sean Astin, Pauly Shore, and directed by Les Mayfield.","""Encino Man"" (1992) starring Brendan Fraser, Sean Astin, Pauly Shore, and others.","""Encino Man""",0.8333333333333334,0.7419354838709677,,0.3125,0.8666666666666667,0.1333333333333333,0.7837837837837838,,,True,True,True
Indiana Jones and the Last Crusade,Action,6,0.2569539446883749,0.2569539446883749,"""Indiana Jones and the Last Crusade""","""The Mummy"" (1999) starring Brendan Fraser and Rachel Weisz.","""The Mummy Returns""",0.8,0.6455696202531646,,0.8461538461538461,0.875,0.6666666666666667,0.7454545454545455,,,True,True,True
"Godfather, The",Action,11,0.24650831301348622,0.24650831301348625,"""The Godfather"" (1972) with a rating of 8.5/10.","""The Godfather""","""The Godfather: Part II""",0.5,0.23076923076923073,,0.8,0.8333333333333334,0.5161290322580645,0.46478873239436624,,,True,False,False
Rocky,Action,6,0.2429598545788715,0.2429598545788715,Rocky Balboa,"""The Fighter""","""Rocky II""",1.0,0.7391304347826086,,1.0,0.6666666666666667,0.92,0.4545454545454546,,,True,True,True
Batman,Action,8,0.18900058251945562,0.18900058251945562,"""Batman"" (1989) starring Michael Keaton, Jack Nicholson, Kim Basinger, Robert Wuhl, Pat Hingle, Billy Dee Williams,","""The Dark Knight""","""The Dark Knight""",0.0,0.0,,1.0,1.0,0.9242424242424242,0.9242424242424242,,,True,False,False
Predator,Action,9,0.13897310820330472,0.13897310820330472,"""Predator"" (1987) starring Arnold Schwarzenegger, Carl Weathers, Elpidia Carrillo, Bill Duke, Jesse Ventura, Son","""The Last Samurai""","""The Last Samurai""",0.0,0.0,,1.0,1.0,0.8461538461538461,0.8461538461538461,,,True,False,False
"Shawshank Redemption, The",Drama,14,0.13282113723923292,0.1328211372392329,"""The Shawshank Redemption"" (1994)","""The Green Mile""","""The Shawshank Redemption""",0.8,0.5714285714285714,,0.8333333333333334,0.25,0.6326530612244898,0.11864406779661019,,,True,True,True
Red Dawn,Action,5,0.12208693090451876,0.12208693090451876,"""Red Dawn"" (1984) or ""Red Dawn"" (2012)?","""The Day After Tomorrow""","""The Hunger Games""",0.8333333333333334,0.5238095238095238,,1.0,1.0,0.6825396825396826,0.7192982456140351,,,True,True,True
Army of Darkness,Action,5,0.0890590158895851,0.0890590158895851,"""Army of Darkness"" (1992) starring Bruce Campbell, Embeth Davidtz, Marcus Gilbert, Ian Abercrombie, Richard Grove, Timothy Patrick","""The Evil Dead"" (1981) by Sam Raimi.","""The Mummy Returns""",0.8888888888888888,0.7090909090909091,,1.0,1.0,0.7951807228915663,0.8791946308724832,,,True,True,True
Three Kings,Drama,5,0.07934533334928456,0.07934533334928456,"""Three Kings"" (1999) starring George Clooney, Mark Wahlberg, Ice Cube, Spike Jonze, Nora Dunn, Jamie Kennedy, and more","""The Last Samurai""","""The Last King of Scotland""",0.6666666666666667,0.4222222222222223,,1.0,1.0,0.8235294117647058,0.7655172413793103,,,True,True,True
Die Hard,Action,8,0.06683411997128465,0.06683411997128465,"""Die Hard 2"" (1990) or ""Die Hard 3"" (1995) or ""Die Hard 4.0"" (200","""The Rock"" (1996) starring Sean Connery and Nicolas Cage.","""Die Hard 2"" (1990) or ""Die Hard with a Vengeance"" (1995)?",1.0,0.6521739130434783,,1.0,0.5384615384615384,0.6885245901639344,0.33333333333333337,,,True,True,True
"Jungle Book, The",Adventure,5,0.06303151937157286,0.06303151937157286,"""The Jungle Book"" (2016).","""The Lion King""","""The Jungle Book""",0.8,0.5,,0.8333333333333334,0.25,0.6,0.19047619047619047,,,True,True,True
Patriot Games,Action,7,0.06124028715221535,0.06124028715221535,"""Patriot Games"" (1992) starring Harrison Ford, Sean Bean, Patrick Bergin, James Fox, Samuel L. Jackson, Thora Birch","""The Hunt for Red October""","""The Bourne Identity""",0.8571428571428572,0.574468085106383,,1.0,1.0,0.900709219858156,0.9117647058823529,,,True,True,True
Swingers,Comedy,10,0.06027176660184023,0.06027176660184023,"""Swingers"" (1996) or ""The Hangover"" (2009) or ""The Hangover Part II"" (2011) or ""","""The Hangover""","""The 40 Year Old Virgin""",0.8333333333333334,0.5789473684210527,,0.7777777777777778,0.9230769230769231,0.7021276595744681,0.7307692307692308,,,True,True,True
Independence Day (ID4),Action,9,0.05998766197306196,0.059987661973061955,"""The Day After Tomorrow (2004)"".","""The Day After Tomorrow (2004)""","""The Avengers (2012)""",0.8571428571428572,0.46153846153846156,,0.0,0.8571428571428572,0.015873015873015928,0.4716981132075472,,,True,True,True
"Untouchables, The",Action,13,0.05503467873166168,0.05503467873166168,"""The Untouchables"" (1987) with 8.1/10 rating.","""The Untouchables""","""The Equalizer""",0.6666666666666667,0.3939393939393939,,0.75,0.8888888888888888,0.4285714285714286,0.6666666666666667,,,True,True,True
Timecop,Action,6,0.05442078487946173,0.05442078487946174,"""Timecop"" (1994) starring Jean-Claude Van Damme, Mia Sara, Ron Silver, Bruce McGill, Gloria Reuben, Scott Bell","""The Time Machine"" (2002) starring Guy Pearce.","""Timecop 2: The Berlin Decision""",0.9090909090909091,0.7435897435897436,,0.9565217391304348,0.9523809523809523,0.6794871794871795,0.7887323943661972,,,True,True,True
Pee-wee's Big Adventure,Comedy,5,0.045348774877630026,0.045348774877630026,"""Pee-wee's Big Adventure"" (1985) starring Paul Reubens, Elizabeth Daily, Mark Holton, Diane Salinger, Judd","""The Adventures of Buckaroo Banzai Across the 8th Dimension""","""The Adventures of Priscilla, Queen of the Desert""",0.7272727272727273,0.49090909090909096,,1.0,1.0,0.6626506024096386,0.6666666666666667,,,False,True,False
Judge Dredd,Action,5,0.03519868708348805,0.03519868708348805,"""Judge Dredd"" (1995) starring Sylvester Stallone, Armand Assante, Rob Schneider, Diane Lane, Jürgen Prochn","""Robocop"" (1987) or ""Robocop 2"" (1990) or ""Robocop 3"" (1993) or ""","""The Fifth Element""",1.0,0.9523809523809523,,1.0,1.0,0.7894736842105263,0.84,,,False,True,False
Toy Story 2,Animation,15,0.02796884111007369,0.02796884111007369,"""Toy Story 2"" (1999)","""Toy Story 3""","""Toy Story 3""",0.0,0.0,,0.6,0.6,0.2727272727272727,0.2727272727272727,,,False,False,False
Deliverance,Adventure,5,0.02321415039899285,0.02321415039899285,"""Deliverance"" (1972) starring Jon Voight, Burt Reynolds, Ned Beatty, Ronny Cox, James Dickey, Bill McKin","""The Shining"" in the Horror genre.","""The River Wild""",0.8571428571428572,0.64,,1.0,1.0,0.8695652173913043,0.85,,,False,True,False
Con Air,Action,9,0.01858069567576452,0.01858069567576452,"""Con Air"" (1997) starring Nicolas Cage, John Cusack, John Malkovich, Steve Buscemi, Ving Rhames, Col","""The Rock""","""The Rock""",0.0,0.0,,1.0,1.0,0.8909090909090909,0.8909090909090909,,,False,False,False
Galaxy Quest,Adventure,10,0.013391059485585102,0.013391059485585102,"""Galaxy Quest"" (1999) - 6.8/10","""The Martian""","""The Martian""",0.0,0.0,,1.0,1.0,0.8604651162790697,0.8604651162790697,,,False,False,False
Star Trek: The Wrath of Khan,Action,10,0.009727094654600376,0.009727094654600376,"""Star Trek: The Wrath of Khan"" (1982)","""Star Trek: The Search for Spock""","""Star Trek: The Search for Spock""",0.0,0.0,,0.7,0.7,0.37142857142857144,0.37142857142857144,,,False,False,False
"Honey, I Shrunk the Kids",Adventure,5,0.007619837087175134,0.007619837087175134,"""Honey, I Shrunk the Kids"" (1989) starring Rick Moranis, Matt Frewer, Marcia Strassman, Kristine","""The Incredible Shrinking Man""","""Honey, I Shrunk the Kids""",0.875,0.5714285714285714,,0.9411764705882353,0.6428571428571428,0.7301587301587302,0.5737704918032787,,,False,True,False
Pulp Fiction,Crime,7,0.007576717402533726,0.007576717402533726,"""Pulp Fiction"" (1994) by Quentin Tarantino.","""The Godfather""","""The Godfather""",0.0,0.0,,1.0,1.0,0.896551724137931,0.896551724137931,,,False,False,False
Batman & Robin,Action,6,0.007375664564313004,0.007375664564313004,"""Batman & Robin"" (1997) starring George Clooney, Chris O'Donnell, Arnold Schwarzenegger, Uma Thurman, Alicia Silver","""The Dark Knight""","""The Dark Knight""",0.0,0.0,,1.0,1.0,0.9242424242424242,0.9242424242424242,,,False,False,False
Payback,Action,5,0.00673402007123939,0.00673402007123939,"""The Killer"" (1989) starring Chow Yun-Fat.","""The Equalizer""","""The Equalizer""",0.0,0.0,,0.875,0.875,0.6842105263157895,0.6842105263157895,,,False,False,False
Who Framed Roger Rabbit?,Adventure,8,0.006672114827413852,0.006672114827413852,"""Who Framed Roger Rabbit?""","""The Mask""","""The Mask""",0.0,0.0,,1.0,1.0,0.6666666666666667,0.6666666666666667,,,False,False,False
Fargo,Crime,13,0.005393579412740392,0.005393579412740392,"""Fargo"" (1996) by Joel Coen, Ethan Coen, starring Frances McDormand, William H. Macy, Steve Buscemi","""The Big Lebowski""","""The Big Lebowski""",0.0,0.0,,1.0,1.0,0.8974358974358975,0.8974358974358975,,,False,False,False
Dr. No,Action,5,0.0035873507408969224,0.0035873507408969224,"""Dr. No"" (1962) starring Sean Connery, Ursula Andress, Joseph Wiseman, Jack Lord, Bernard Lee, Eunice","""The Spy Who Loved Me""","""The Spy Who Loved Me""",0.0,0.0,,1.0,1.0,0.7886178861788617,0.7886178861788617,,,False,False,False
"Patriot, The",Action,5,0.003028114069101767,0.003028114069101767,"""The Patriot"" (2000) with Mel Gibson, Heath Ledger, Joely Richardson, Jason Isaacs, Chris Cooper, Rene Auberjonois","""The Patriot""","""The Patriot""",0.0,0.0,,0.875,0.875,0.7952755905511811,0.7952755905511811,,,False,False,False
American Graffiti,Comedy,7,0.002849366353617002,0.0028493663536170014,"""American Graffiti"" (1973) starring Richard Dreyfuss, Ron Howard, Paul Le Mat, Charles Martin Smith, Cindy Williams, Candy Clark","""The Big Lebowski""","""The Big Lebowski""",0.0,0.0,,1.0,1.0,0.8767123287671232,0.8767123287671232,,,False,False,False
Speed,Action,8,0.0022725460180764755,0.0022725460180764755,"""Speed"" (1994) starring Keanu Reeves, Sandra Bullock, Dennis Hopper, Joe Morton, Jeff Daniels, Alan Ruck, Glenn","""The Fast and the Furious""","""The Fast and the Furious""",0.0,0.0,,1.0,1.0,0.8102189781021898,0.8102189781021898,,,False,False,False
Dragonheart,Action,5,0.0019257802772549549,0.001925780277254955,"""Dragonheart: Battle for the Heartfire""","""The Last Legion""","""The Last Legion""",0.0,0.0,,0.8571428571428572,0.8571428571428572,0.7142857142857143,0.7142857142857143,,,False,False,False
Superman II,Action,5,0.0017717103676251477,0.0017717103676251477,"""Superman II"" (1980) starring Christopher Reeve, Gene Hackman, Margot Kidder, Ned Beatty, Jackie Cooper, Sarah Douglas","""Superman II""","""Superman II""",0.0,0.0,,0.875,0.875,0.8015267175572519,0.8015267175572519,,,False,False,False
Repo Man,Comedy,5,0.001716971852830802,0.001716971852830802,"""Repo Man"" (1984) starring Emilio Estevez, Harry Dean Stanton, Tracey Walter, Olivia Barash, Sy Richardson, and Fox Harris","""Repo Man"" is a 1984 American science fiction comedy film written and directed by Alex Cox. The film stars Emilio Estevez, Harry Dean Stanton","""Repo Man"" is a 1984 American science fiction comedy film written and directed by Alex Cox. The film stars Emilio Estevez, Harry Dean Stanton",0.0,0.0,,0.71875,0.71875,0.5817490494296578,0.5817490494296578,,,False,False,False
Starship Troopers,Action,7,0.0017003917256388714,0.0017003917256388718,"""Starship Troopers 2: Hero of the Federation"" (2004) with a rating of 5.5/10.","""The Last Starfighter""","""The Last Starfighter""",0.0,0.0,,0.9333333333333333,0.9333333333333333,0.8181818181818181,0.8181818181818181,,,False,False,False
"South Park: Bigger, Longer and Uncut",Animation,7,0.0016520692585109647,0.0016520692585109645,"""South Park: Bigger, Longer and Uncut"" (1999)","""South Park: Bigger, Longer and Uncut""","""South Park: Bigger, Longer and Uncut""",0.0,0.0,,0.1428571428571429,0.1428571428571429,0.08433734939759041,0.08433734939759041,,,False,False,False
Bull Durham,Comedy,5,0.001136175550711117,0.001136175550711117,"""Bull Durham"" (1988) starring Kevin Costner, Susan Sarandon, Tim Robbins, Robert Wuhl, Trey Wilson, Ann Cusack","""Major League""","""Major League""",0.0,0.0,,1.0,1.0,0.8870967741935484,0.8870967741935484,,,False,False,False
Fight Club,Drama,6,0.0009817426886159356,0.0009817426886159354,"""Fight Club"" (1999) starring Edward Norton, Brad Pitt, Helena Bonham Carter, Meat Loaf, Jared Leto, Zach Grenier,","""The Fighter""","""The Fighter""",0.0,0.0,,1.0,1.0,0.873015873015873,0.873015873015873,,,False,False,False
Kingpin,Comedy,5,0.0005895798754625408,0.0005895798754625408,"""The Hustler""","""The Hustler""","""The Hustler""",0.0,0.0,,0.0,0.0,0.0,0.0,,,False,False,False
Being John Malkovich,Comedy,9,0.0003121486031632842,0.0003121486031632842,"""Being John Malkovich""","""The Truman Show""","""The Truman Show""",0.0,0.0,,1.0,1.0,0.6923076923076923,0.6923076923076923,,,False,False,False
Ronin,Action,7,-0.00010130259782603972,-0.00010130259782603973,"""Ronin"" (1998) starring Robert De Niro, Jean Reno, Natascha McElhone, Stellan Skarsgård,","""The Bourne Identity""","""The Bourne Identity""",0.0,0.0,,1.0,1.0,0.8532110091743119,0.8532110091743119,,,False,False,False
Brazil,Sci-Fi,7,-0.000104692441626718,-0.00010469244162671798,"""Brazil"" (1985) starring Jonathan Pryce, Robert De Niro, Kim Greist, Michael Palin, Katherine Helmond, Bob Hoskins,","""Brazil"" or ""The Matrix""?","""Brazil"" or ""The Matrix""?",0.0,0.0,,0.9473684210526316,0.9473684210526316,0.7714285714285715,0.7714285714285715,,,False,False,False
Mad Max,Action,6,-0.00042892978952041415,-0.00042892978952041415,Mad Max: Fury Road (2015),"""The Road Warrior""","""The Road Warrior""",0.0,0.0,,0.8571428571428572,0.8571428571428572,0.7209302325581395,0.7209302325581395,,,False,False,False
"Truman Show, The",Drama,8,-0.0010604699751847221,-0.0010604699751847221,"""The Truman Show""","""The Truman Show""","""The Truman Show""",0.0,0.0,,0.0,0.0,0.0,0.0,,,False,False,False
