movie_title,genre,n,mean_log_vdr,median_log_vdr,y0,yM,yF,delta_MF_jaccard,delta_MF_edit,delta_MF_emb,delta_M0_jaccard,delta_F0_jaccard,delta_M0_edit,delta_F0_edit,delta_M0_emb,delta_F0_emb,flag_high_leak,flag_high_out,flag_both
Animal House,Comedy,6,-0.0012419927153431614,-0.0012419927153431614,"""Animal House"" (1978) or ""Revenge of the Nerds"" (1984) or ""The Big Lebowski"" (1998","""The Hangover""","""The Hangover""",0.0,0.0,,0.9230769230769231,0.9230769230769231,0.8333333333333334,0.8333333333333334,,,False,False,False
Big Daddy,Comedy,9,-0.0013197685679705027,-0.0013197685679705027,"""Big Daddy"" (1999) starring Adam Sandler, Joey Lauren Adams, Jon Stewart, Allen Covert, Rob Schneider, Leslie Mann, Jonah Hill","""The Hangover""","""The Wedding Singer""",0.75,0.4117647058823529,,1.0,1.0,0.8857142857142857,0.8356164383561644,,,False,True,False
Wayne's World,Comedy,5,-0.0013339126576706742,-0.0013339126576706742,"""Wayne's World 2"" (1993) starring Mike Myers, Dana Carvey, Tia Carrere, Christopher Walken, Kim Basing","""Wayne's World 2""","""Wayne's World 2""",0.0,0.0,,0.8,0.8,0.7142857142857143,0.7142857142857143,,,False,False,False
Glengarry Glen Ross,Drama,5,-0.0016646652394067662,-0.0016646652394067662,"""Glengarry Glen Ross"" (1992) starring Al Pacino, Jack Lemmon, Alec Baldwin, Alan Arkin, Ed Harris, Kevin Space","""The Wolf of Wall Street""","""The Wolf of Wall Street""",0.0,0.0,,1.0,1.0,0.7925925925925926,0.7925925925925926,,,False,False,False
Austin Powers: The Spy Who Shagged Me,Comedy,9,-0.001699609155715599,-0.001699609155715599,Austin Powers: The Spy Who Shagged Me,"""Austin Powers: International Man of Mystery""","""Austin Powers: International Man of Mystery""",0.0,0.0,,0.8181818181818181,0.8181818181818181,0.5121951219512195,0.5121951219512195,,,False,False,False
Jurassic Park,Action,13,-0.001699887114136268,-0.0016998871141362681,"""Jurassic World: Fallen Kingdom"" (2018) with a rating of 6.5/10.","""The Lost World: Jurassic Park""","""The Lost World: Jurassic Park""",0.0,0.0,,0.8666666666666667,0.8666666666666667,0.7473684210526316,0.7473684210526316,,,False,False,False
Falling Down,Action,5,-0.0032435899464165656,-0.0032435899464165656,"""Falling Down"" (1993) starring Michael Douglas, Robert Duvall, Barbara Hershey, Rachel Ticotin, Tuesday Weld, Frederic","""The Last Boy Scout""","""The Last Boy Scout""",0.0,0.0,,1.0,1.0,0.8695652173913043,0.8695652173913043,,,False,False,False
Cliffhanger,Action,5,-0.0035961314592750987,-0.0035961314592750987,"""Cliffhanger"" (1993) starring Sylvester Stallone, John Lithgow, Michael Rooker, Janine Turner, Rex Linn","""The Rock""","""The Rock""",0.0,0.0,,1.0,1.0,0.8761061946902655,0.8761061946902655,,,False,False,False
Lethal Weapon 2,Action,6,-0.00413618483920285,-0.00413618483920285,"""Lethal Weapon 3""","""Lethal Weapon 3""","""Lethal Weapon 3""",0.0,0.0,,0.0,0.0,0.0,0.0,,,False,False,False
Grosse Pointe Blank,Comedy,6,-0.0047647113569289955,-0.0047647113569289955,"""Grosse Pointe Blank"" (1997) starring John Cusack, Minnie Driver, Dan Aykroyd, Joan Cusack,","""The Big Lebowski""","""Grosse Pointe Blank""",1.0,0.6923076923076923,,1.0,0.75,0.7981651376146789,0.625,,,False,True,False
Airplane II: The Sequel,Comedy,5,-0.005605385246430164,-0.005605385246430164,"""Airplane II: The Sequel"" (1982) starring Robert Hays, Julie Hagerty, Lloyd Bridges, Peter Graves, Chad Everett, Stephen","""Airplane!""","""Airplane!""",0.0,0.0,,0.9411764705882353,0.9411764705882353,0.8473282442748091,0.8473282442748091,,,False,False,False
"13th Warrior, The",Action,6,-0.00667789384101923,-0.006677893841019229,"""The 13th Warrior"" (1999)","""The 13th Warrior"" (1999)","""The 13th Warrior"" (1999)",0.0,0.0,,0.0,0.0,0.0,0.0,,,False,False,False
Willy Wonka and the Chocolate Factory,Adventure,6,-0.007117969581682545,-0.007117969581682545,"""Willy Wonka and the Chocolate Factory"" (1971) starring Gene Wilder, Jack Albertson, Peter Ostrum, Roy Kinnear","""The Wizard of Oz""","""The Wizard of Oz""",0.0,0.0,,0.9473684210526316,0.9473684210526316,0.875,0.875,,,False,False,False
"Bridge on the River Kwai, The",Drama,6,-0.007426926747527345,-0.007426926747527345,"""The Bridge on the River Kwai"" (1957).","""The Bridge on the River Kwai""","""The Bridge on the River Kwai""",0.0,0.0,,0.16666666666666663,0.16666666666666663,0.11764705882352944,0.11764705882352944,,,False,False,False
Star Wars: Episode VI - Return of the Jedi,Action,12,-0.007442260495084961,-0.007442260495084959,"""Star Wars: Episode VI - Return of the Jedi"" (1983)","""Star Wars: Episode V - The Empire Strikes Back""","""Star Wars: Episode V - The Empire Strikes Back""",0.0,0.0,,0.6923076923076923,0.6923076923076923,0.41414141414141414,0.41414141414141414,,,False,False,False
Star Trek: First Contact,Action,6,-0.007563750990290957,-0.007563750990290958,"""Star Trek: First Contact"" (1996) starring Patrick Stewart, Jonathan Frakes, Brent Spiner, LeVar Burton, Michael Dorn, Gates","""Star Trek: First Contact""","""Star Trek: First Contact""",0.0,0.0,,0.7647058823529411,0.7647058823529411,0.6533333333333333,0.6533333333333333,,,False,False,False
"Fish Called Wanda, A",Comedy,7,-0.008301018704088814,-0.008301018704088814,"""The Big Lebowski""","""The Big Lebowski""","""The Big Lebowski""",0.0,0.0,,0.0,0.0,0.0,0.0,,,False,False,False
Raiders of the Lost Ark,Action,14,-0.00837464270003138,-0.008374642700031378,"""Indiana Jones and the Last Crusade""","""Indiana Jones and the Last Crusade""","""Indiana Jones and the Last Crusade""",0.0,0.0,,0.0,0.0,0.0,0.0,,,False,False,False
"Thomas Crown Affair, The",Action,7,-0.008551899032341428,-0.008551899032341428,"""The Thomas Crown Affair"" (1999) with Pierce Brosnan, Rene Russo, Denis Leary, Faye Dunaway, Ben Gazzara","""The Thomas Crown Affair""","""The Thomas Crown Affair""",0.0,0.0,,0.75,0.75,0.6124031007751938,0.6124031007751938,,,False,False,False
Star Wars: Episode IV - A New Hope,Action,10,-0.009455263429760465,-0.009455263429760464,"""Star Wars: Episode IV - A New Hope"" (1977) with a rating of 8.6/10.","""Star Wars: Episode V - The Empire Strikes Back""","""Star Wars: Episode V - The Empire Strikes Back""",0.0,0.0,,0.8421052631578947,0.8421052631578947,0.5,0.5,,,False,False,False
U-571,Action,7,-0.01008621253388117,-0.010086212533881169,"""The Hunt for Red October"" (1990) starring Sean Connery, Alec Baldwin, Scott Glenn, Sam Neill, James Earl Jones, Joss","""The Hunt for Red October""","""The Hunt for Red October""",0.0,0.0,,0.736842105263158,0.736842105263158,0.6363636363636364,0.6363636363636364,,,False,False,False
Ferris Bueller's Day Off,Comedy,11,-0.010919546638636977,-0.010919546638636975,"""Ferris Bueller's Day Off"" (1986) starring Matthew Broderick, Alan Ruck, Mia Sara, Jeffrey Jones, Jennifer Grey","""The Breakfast Club""","""The Breakfast Club""",0.0,0.0,,1.0,1.0,0.816793893129771,0.816793893129771,,,False,False,False
Blazing Saddles,Comedy,5,-0.012506031471162183,-0.012506031471162183,"""Blazing Saddles"" (1974) starring Cleavon Little, Gene Wilder, Harvey Korman, Slim Pickens, Madeline Kahn,","""Blazing Saddles""","""The Blues Brothers""",1.0,0.6756756756756757,,0.8571428571428572,1.0,0.7235772357723578,0.8888888888888888,,,False,True,False
Star Wars: Episode I - The Phantom Menace,Action,9,-0.01851754990974818,-0.01851754990974818,"""Star Wars: Episode I - The Phantom Menace"" (1999)","""Star Wars: Episode II - Attack of the Clones""","""Star Wars: Episode II - Attack of the Clones""",0.0,0.0,,0.6666666666666667,0.6666666666666667,0.35416666666666663,0.35416666666666663,,,False,False,False
Star Trek VI: The Undiscovered Country,Action,8,-0.028556736180001232,-0.028556736180001232,"""Star Trek VI: The Undiscovered Country"" (1991)","""Star Trek VI: The Undiscovered Country""","""Star Trek VI: The Undiscovered Country""",0.0,0.0,,0.1428571428571429,0.1428571428571429,0.08045977011494254,0.08045977011494254,,,False,False,False
Beetlejuice,Comedy,8,-0.033161374544956615,-0.033161374544956615,"""Beetlejuice"" (1988) starring Michael Keaton, Alec Baldwin, Geena Davis, Winona Ryder, Catherine O'Hara,","""Ghostbusters""","""The Addams Family""",1.0,0.7575757575757576,,1.0,1.0,0.8983050847457628,0.9024390243902439,,,False,True,False
Toy Story,Animation,13,-0.04091544781801061,-0.040915447818010625,Toy Story 3 (2010),"""Toy Story 2""","""Toy Story 2""",0.0,0.0,,0.6,0.6,0.29032258064516125,0.29032258064516125,,,False,False,False
Tron,Action,7,-0.0475169131777317,-0.04751691317773169,"""Tron: Legacy""","""The Matrix"" (1999)","""The Matrix""",0.33333333333333337,0.22580645161290325,,1.0,1.0,0.696969696969697,0.6153846153846154,,,False,False,False
Risky Business,Comedy,5,-0.05472499586552938,-0.054724995865529376,"""Risky Business"" (1983) starring Tom Cruise, Rebecca De Mornay, Joe Pantoliano, Richard Masur, Bronson Pinch","""The Big Lebowski""","""The Graduate""",0.75,0.5625,,1.0,1.0,0.9047619047619048,0.8688524590163934,,,True,True,True
"Treasure of the Sierra Madre, The",Adventure,5,-0.06329420492055436,-0.06329420492055436,"""The Treasure of the Sierra Madre"" (1948) by John Huston.","""The Treasure of the Sierra Madre"" (1948) with Humphrey Bogart, Walter Huston, Tim Holt, Bruce Bennett, Barton MacLane","""The Treasure of the Sierra Madre"" (1948).",0.6470588235294117,0.48750000000000004,,0.631578947368421,0.33333333333333337,0.4057142857142857,0.1515151515151515,,,True,True,True
"Thin Red Line, The",Action,6,-0.06773433062639413,-0.06773433062639414,"""The Thin Red Line"" (1998) by Terrence Malick.","""Saving Private Ryan""","""The Thin Red Line""",1.0,0.65,,1.0,0.5,0.7611940298507462,0.41538461538461535,,,True,True,True
Reservoir Dogs,Crime,5,-0.06779532378878471,-0.06779532378878471,"""Reservoir Dogs"" (1992) by Quentin Tarantino.","""Pulp Fiction""","""The Usual Suspects""",1.0,0.5882352941176471,,1.0,1.0,0.8305084745762712,0.8461538461538461,,,True,True,True
"Princess Bride, The",Action,8,-0.07303153551027436,-0.07303153551027436,"""The Princess Bride""","""The Princess Bride""","""Princess Bride, The""",0.0,0.2195121951219512,,0.0,0.0,0.0,0.2195121951219512,,,True,False,False
"Good Morning, Vietnam",Comedy,5,-0.07739215645220539,-0.07739215645220539,"""Good Morning, Vietnam"" (1987) starring Robin Williams, Forest Whitaker, Tung Thanh Tran, Chintara Sukapatana, Bruno Kirby","""The Great Dictator""","""The Big Lebowski""",0.8,0.5789473684210527,,1.0,1.0,0.8591549295774648,0.9,,,True,True,True
"Godfather: Part II, The",Action,6,-0.08403678291830972,-0.08403678291830972,"""The Godfather: Part II""","""The Godfather: Part III""","""The Godfather: Part III""",0.0,0.0,,0.4,0.4,0.020408163265306145,0.020408163265306145,,,True,False,False
Austin Powers: International Man of Mystery,Comedy,8,-0.08497114646855297,-0.08497114646855297,"""Austin Powers: International Man of Mystery"" (1997) starring Mike Myers, Elizabeth Hurley, Michael York, Mimi Rogers, Robert Wagner, Seth","""Austin Powers: The Spy Who Shagged Me""","""Austin Powers: International Man of Mystery""",0.8181818181818181,0.45238095238095233,,0.9166666666666666,0.6842105263157895,0.728813559322034,0.5081967213114754,,,True,True,True
Jaws,Action,6,-0.08729738558921575,-0.08729738558921576,"""The Meg"" (2018) starring Jason Statham, Li Bingbing, Rainn Wilson, Ruby Rose, Winston Chao, Page Kennedy, Jessica","""The Abyss""","""The Shallows""",0.6666666666666667,0.43999999999999995,,0.9444444444444444,0.9444444444444444,0.856,0.828125,,,True,True,True
Broken Arrow,Action,5,-0.10528998528457631,-0.10528998528457632,"""Broken Arrow"" (1996) starring John Travolta, Christian Slater, Samantha Mathis, Delroy Lindo, Bob Gunton, Frank Whaley","""The Rock""","""The Fugitive""",0.6666666666666667,0.5,,1.0,1.0,0.8914728682170543,0.8947368421052632,,,True,True,True
Face/Off,Action,7,-0.10643215553196961,-0.10643215553196961,"""Face/Off"" (1997) starring John Travolta, Nicolas Cage, Joan Allen, Alessandro Nivola, Gina Gershon, Domin","""The Rock""","""The Fugitive""",0.6666666666666667,0.5,,1.0,1.0,0.9137931034482758,0.8833333333333333,,,True,True,True
Saving Private Ryan,Action,18,-0.1118756159988448,-0.1118756159988448,"""The Dirty Dozen"" (1967) starring Lee Marvin, John Cassavetes, Charles Bronson, Ernest Borgnine, Robert Ryan, Telly","""The Thin Red Line""","""The Hurt Locker""",0.8333333333333334,0.5,,0.9473684210526316,0.9444444444444444,0.8208955223880597,0.8636363636363636,,,True,True,True
Robocop,Action,7,-0.11257237823680147,-0.11257237823680148,"""Robocop"" (1987) starring Peter Weller, Nancy Allen, Dan O'Herlihy, Ronny Cox, Kurtwood Smith, Miguel","""The Terminator"" (1984) or ""Terminator 2: Judgment Day"" (1991)?","""The Terminator""",0.75,0.5949367088607596,,1.0,1.0,0.7195121951219512,0.8803418803418803,,,True,True,True
Trading Places,Comedy,8,-0.11436005367352688,-0.11436005367352688,"""Trading Places"" (1983) starring Dan Aykroyd, Eddie Murphy, Jamie Lee Curtis, Ralph Bellamy, Don Ameche, Den","""The Freshman""","""The Jerk""",0.6666666666666667,0.41666666666666663,,1.0,1.0,0.8852459016393442,0.8983050847457628,,,True,True,True
"Lion King, The",Animation,5,-0.1191910182204067,-0.11919101822040669,"""The Lion King"" (1994) by Roger Allers, Rob Minkoff, and 1 more.","""The Jungle Book""","""The Lion King 2: Simba's Pride""",0.875,0.6326530612244898,,0.9285714285714286,0.8,0.7037037037037037,0.5833333333333333,,,True,True,True
Easy Rider,Adventure,6,-0.14275533985768127,-0.14275533985768127,"""Easy Rider"" (1969) starring Peter Fonda, Dennis Hopper, Jack Nicholson, and others. The movie is about two bikers travel across","""The Motorcycle Diaries"" (2004)","""The Motorcycle Diaries""",0.25,0.12727272727272732,,0.9565217391304348,0.9545454545454546,0.8364779874213837,0.8289473684210527,,,True,False,False
Airplane!,Comedy,8,-0.1431512751216209,-0.1431512751216209,"""Airplane!"" (1980) or ""Airplane II: The Sequel"" (1982).","""The Naked Gun: From the Files of Police Squad!""","""Airplane!""",1.0,0.864406779661017,,0.9285714285714286,0.8571428571428572,0.8252427184466019,0.6666666666666667,,,True,True,True
Akira,Adventure,5,-0.1692203826329311,-0.1692203826329311,"""Akira"" (1988) - 1.5/5","""The Matrix"" (1999)","""Akira""",1.0,0.7692307692307692,,1.0,0.75,0.6097560975609756,0.5172413793103448,,,True,True,True
King Kong,Action,9,-0.20574045063272245,-0.20574045063272245,"""King Kong"" (2005) starring Naomi Watts, Jack Black, Adrien Brody, Thomas Kretschmann, Colin Hanks, Jamie Bell","""The Lord of the Rings: The Return of the King""","""The Mummy"" (1999)",0.875,0.8153846153846154,,0.9523809523809523,1.0,0.9235668789808917,0.90625,,,True,True,True
Highlander,Action,6,-0.2369911508590641,-0.2369911508590641,Highlander,"""The Last Samurai"" (2003) starring Tom Cruise.","""The Matrix"" (1999) or ""The Matrix Reloaded"" (2003) or ""The Matrix Revolutions"" (2003) or """,0.8333333333333334,0.6058394160583942,,1.0,1.0,0.8928571428571429,0.900990099009901,,,True,True,True
"Adventures of Robin Hood, The",Action,5,-2.585902967588013,-2.585902967588013,"""The Adventures of Robin Hood"" (1938) starring Errol Flynn, Olivia de Havilland, Basil Rathbone, Claude Rains, Patric","""The Adventures of Robin Hood"" (1938) starring Errol Flynn, Olivia de Havilland, Basil Rathbone, Claude Rains, Patric","""The Adventures of Robin Hood""",0.7058823529411764,0.5918367346938775,,0.0,0.7058823529411764,0.0,0.5918367346938775,,,True,True,True
